Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-12,Roads,S94-12 - Bus Shelters,50,0,,,,,0,DA17/0469,"part demolition of existing garage, alterations to existing dwelling, erection of new dwelling to create a detached dual occupancy and two lot strata subdivision","part demolition of existing garage, alterations to existing ",2,Approved,2017-12-01,2017,748506,748506,POTTSVILLE,"Lot 116 DP 1265189
Being Lots 1-2 SP 100832",3 Victoria Avenue POTTSVILLE NSW 2489,Council,LEVIED,Over10ET,50,50,50,9137263,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,1318,0,,,,,0,DA16/0487,mezzanine floor to tenancy 1,mezzanine floor to tenancy 1,1,Approved,2016-08-12,2016,707977,707977,CASUARINA,Lot 11 DP 1198266,482 Casuarina Way CASUARINA NSW 2487,Council,LEVIED,Sector7_4,1318,1318,1318,8012963,
S94-05,Open Space,S94-05 - Structured Open Space (Local),693.9,0,,,,,693.9,DA20/0836,"dwelling with attached secondary dwelling, swimming pool, shed, and carport, and two (2) lot subdivision as staged development","dwelling with attached secondary dwelling, swimming pool, sh",2,Approved,2022-04-05,2022,870231,870231,BOGANGAR,Lot 52 DP 1158855,4 Rosewood Avenue BOGANGAR NSW 2488,Council,LEVIED,StructOS_5,693.9,693.9,693.9,12258434,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,,,-19546.8,DA19/0315 (40% Emp Gen Disc)JT,,,29320.2,DA19/0315,extensions to existing Salt Tavern,extensions to existing Salt Tavern,1,Approved,2019-09-12,2019,815787,815787,KINGSCLIFF,"Lot 7 SP 88254
Now Lot 8 SP 100557",7/49-61 Bells Boulevard KINGSCLIFF NSW 2487,Council,PAID,Sector7_4,48867,48867,-19546.8,10710579,DA19/0315 (40% Emp Gen Disc)JT
S94-13,Other,S94-13 - Eviron Cemetery,,,-4471,0,,,0,DA16/0102,multi dwelling housing development comprising 45 town houses,multi dwelling housing development comprising 45 town houses,45,Approved,2016-08-31,2016,691157,691157,TWEED HEADS SOUTH,"Lot 11 DP 1163855

Rated from 01/07/2016 to 08/06/2017",Fraser Drive TWEED HEADS SOUTH NSW 2486,Council,PAID,ResDevt13,4471,4471,-4471,8036690,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-2918,0,,,0,DA15/0771,dual occupancy (attached),dual occupancy (attached),2,Approved,2015-11-20,2015,676738,676738,POTTSVILLE,"Lot 1 DP 1223241
Being Lots 1-2 SP 94133",7 Elizabeth Street POTTSVILLE NSW 2489,Council,PAID,StrucOS_26,2918,2918,-2918,7457972,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),20346.72,0,,,,,20346.72,DA20/0383,17 lot subdivision,17 lot subdivision,17,Court Appr,2021-11-18,2021,856516,856516,CUDGEN,Lot 101 DP 1056576,Cudgen Road CUDGEN NSW 2487,Court,LEVIED,CasOS_26,20346.72,20346.72,20346.72,12133344,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),12150,"DA15/0352 (now staged) AM,DA15/0352 (Stg1) as per s96 dated 9/2/17 - AM,DA15/0352 (Stg2) as per s96 dated 9/2/17 - AM,DA15/0352 (Stg 1 as per recalc 21/10/19)JT,DA15/0352 (Stg 2 as per recalc 21/10/19)JT",,,,,8100,DA15/0352,four lot subdivision,four lot subdivision,5,Approved,2015-11-17,2015,663891,663891,KIELVALE,Lot 15 DP 208843,38A Reserve Creek Road KIELVALE NSW 2484,Council,LEVIED,StrucOS_26,12150,12150,12150,7454975,"DA15/0352 (now staged) AM,DA15/0352 (Stg1) as per s96 dated 9/2/17 - AM,DA15/0352 (Stg2) as per s96 dated 9/2/17 - AM,DA15/0352 (Stg 1 as per recalc 21/10/19)JT,DA15/0352 (Stg 2 as per recalc 21/10/19)JT"
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,,,-133153,0,,,0,DA15/0313,"five into 22 lot subdivision, 22 dwellings, 16 of which have a pool, six secondary dwellings and associated civil works","five into 22 lot subdivision, 22 dwellings, 16 of which have",22,Approved,2016-02-26,2016,662963,662963,KINGSCLIFF,Lot 386 DP 1162588,21 Seaside Drive KINGSCLIFF NSW 2487,Council,PAID,Sector7_4,133153,133153,-133153,7557510,
S94-13,Other,S94-13 - Eviron Cemetery,101,0,,,,,0,DA17/0873,additions to an existing garage to construct an attached dual occupancy and swimming pools,additions to an existing garage to construct an attached dua,1,Approved,2018-10-30,2018,762673,762673,TWEED HEADS,Lot 18 Sec 4 DP 8568,32 Charles Street TWEED HEADS NSW 2485,Council,LEVIED,ResDevt13,101,101,101,9789252,
S94-04,Roads,S94-04 - Road Contribution Sector 05,3150,0,,,,,0,DA21/0199,detached dual occupancy,detached dual occupancy,2,Approved,2021-12-16,2021,888744,888744,TERRANORA,Lot 8 DP 1264394,89 Henry Lawson Drive TERRANORA NSW 2486,Council,LEVIED,Sector5_4,3150,3150,3150,12154037,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,1814,0,,,,,0,DA20/0079,attached dual occupancy and two swimming pools,attached dual occupancy and two swimming pools,2,Approved,2020-09-11,2020,843630,843630,KINGSCLIFF,"Lot 3 DP 1251576
Being Lots 1-2 SP 105856",54 Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Sector7_4,1814,1814,1814,11371454,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-652,0,,,0,DA15/0711,additions and alterations to an existing dwelling to create an attached dual occupancy,additions and alterations to an existing dwelling to create ,1,Approved,2016-04-20,2016,674567,674567,FINGAL HEAD,Lot 337 DP 755740,19 Queen Street FINGAL HEAD NSW 2487,Council,PAID,ResDevt11,638,638,-652,7606283,
S94-05,Open Space,S94-05 - Casual Open Space (Local),101,0,,,,,101,DA21/0513,first floor addition to existing unit 4 within a multi dwelling housing development,first floor addition to existing unit 4 within a multi dwell,1,Approved,2022-05-27,2022,900312,900312,BOGANGAR,Lot 4 SP 46385,4/31-33 Cassidy Crescent BOGANGAR NSW 2488,Council,LEVIED,CasualOS_5,101,101,101,12307474,
S94-04,Roads,S94-04 - Road Contribution Sector 09,109132,"DA17/0451 (Stg 1)JT,DA17/0451 (Stg 2)JT,DA17/0451 (Stg 3)JT",,,,,0,DA17/0451,"staged light industrial development (Stage 1 - 1 unit, Stage 2 – 1 unit and Stage 3 – 1 unit) and removal of existing buildings","staged light industrial development (Stage 1 - 1 unit, Stage",1,Approved,2017-11-09,2017,747657,747657,SOUTH MURWILLUMBAH,Lot 2 DP 1229813,21 Lundberg Drive SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Sector9_4,65726.87,65726.87,109132,9114367,"DA17/0451 (Stg 1)JT,DA17/0451 (Stg 2)JT,DA17/0451 (Stg 3)JT"
S94-26,Open Space,S94-26 - Structured Open Space (Regional),12146.639999999998,"DA19/0745 (Stg 1)JT,DA19/0745 (Stg 2)JT,DA19/0745 (Stg 1 as per recalc 25/6/2021) AM,DA19/0745 (Stg 2 as per recalc 25/6/2021) AM",,,,,0,DA19/0745,four lot subdivision in two stages including demolition of existing dwelling and earthworks,four lot subdivision in two stages including demolition of e,4,Approved,2020-03-02,2020,834005,834005,BANORA POINT,Lot 732 DP 48275,6 Oyster Point Road BANORA POINT NSW 2486,Council,LEVIED,StrucOS_26,12146.64,12146.64,12146.639999999998,10880660,"DA19/0745 (Stg 1)JT,DA19/0745 (Stg 2)JT,DA19/0745 (Stg 1 as per recalc 25/6/2021) AM,DA19/0745 (Stg 2 as per recalc 25/6/2021) AM"
S94-18,Other,S94-18 - Council Admin/Support Facilities,1416.5,0,,,,,0,DA15/0924,demolition of existing carport and construction of second dwelling to create a dual occupancy,demolition of existing carport and construction of second dw,1,Approved,2016-03-08,2016,681428,681428,POTTSVILLE,"Lot 1 DP 1243524
Being Lots 1-2 SP 98974",41 Victoria Avenue POTTSVILLE NSW 2489,Council,LEVIED,Shirewide,1416.5,1416.5,1416.5,7570826,
S94-02,Drainage,S94-02 - THS Drainage,404.7,0,,,,,404.7,DA19/0635,"staged development: stage one - two (2) lot strata subdivision, stage two - dual occupancy (detached)",staged development: stage one - two (2) lot strata subdivisi,1,Approved,2020-03-26,2020,829863,829863,BANORA POINT,Lot 816 DP 800049,38 Amaroo Drive BANORA POINT NSW 2486,Council,LEVIED,Drainage2,404.7,404.7,404.7,10905632,
S94-11,Community Facilities,S94-11 - Library Facilities,933,0,,,,,0,DA18/0784,2 lot subdivision,2 lot subdivision,2,Approved,2019-06-13,2019,792049,792049,TERRANORA,Lot 2 DP 706332,77 Mahers Lane TERRANORA NSW 2486,Council,LEVIED,ResDevt11,933,933,933,10009577,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-2138,0,,,0,DA16/0635,demolition of existing structures and construction of 2 detached dual occupancies over two lots (4 residential units),demolition of existing structures and construction of 2 deta,1,Approved,2017-02-09,2017,713981,713981,BANORA POINT,Lots 33-34 DP 1231602,22 Anthony Avenue BANORA POINT NSW 2486,Council,PAID,ComFac15,2138,2138,-2138,8220137,
S94-04,Roads,S94-04 - Road Contribution Sector 02,52860,0,,,,,0,DA18/0476,demolition of existing building and construction of bulky goods premises and associated signage,demolition of existing building and construction of bulky go,1,Approved,2019-01-03,2019,781763,781763,TWEED HEADS SOUTH,Lot 3 DP 246253,6 Machinery Drive TWEED HEADS SOUTH NSW 2486,Council,LEVIED,Sector2_4,31716,31716,52860,9848789,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-38376,0,,,0,DA19/0058,three lots into twelve lots torrens title subdivision including all associated infrastructure works,three lots into twelve lots torrens title subdivision includ,12,Approved,2019-05-16,2019,802887,802887,KINGSCLIFF,"Lot 41 DP 1145386
Lot 42 DP 1145386
Lot 43 DP 1145386",Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,StrucOS_26,38376,38376,-38376,9981468,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),21950,"DA17/0381 (Stg 1),DA17/0381 (Stg 2),DA17/0381 (Stg 3),DA17/0381 (Stg 1 as per recalc 22/5/19)JT,DA17/0381 (Stg 2 as per recalc 22/5/19)JT,DA17/0381 (Stg 3 as per recalc 22/5/19)JT,DA17/0381 (Stg2 as per recalc 18/10/19) AM,DA17/0381 (Stg3 as per recalc 18/10/19) AM",,,,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,Approved,2017-11-06,2017,745613,745613,KINGSCLIFF,Lot 54 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,CasOS_26,19976,19976,21950,9108091,"DA17/0381 (Stg 1),DA17/0381 (Stg 2),DA17/0381 (Stg 3),DA17/0381 (Stg 1 as per recalc 22/5/19)JT,DA17/0381 (Stg 2 as per recalc 22/5/19)JT,DA17/0381 (Stg 3 as per recalc 22/5/19)JT,DA17/0381 (Stg2 as per recalc 18/10/19) AM,DA17/0381 (Stg3 as per recalc 18/10/19) AM"
S94-26,Open Space,S94-26 - Casual Open Space (Regional),7867,"DA20/0125 (Stg 2),DA20/0125 (Stg 3)",,,,,7867,DA20/0125,"staged development including demolition, earthworks, tree removal, multi dwelling housing (8 dwellings and 2 pools) and strata subdivision","staged development including demolition, earthworks, tree re",8,Approved,2021-02-11,2021,846335,846335,BANORA POINT,"Lot 112 DP 1289171
Being Lots 1-2 SP 105937",12 Oyster Point Road BANORA POINT NSW 2486,Council,LEVIED,CasOS_26,7867,7867,7867,11524180,"DA20/0125 (Stg 2),DA20/0125 (Stg 3)"
S94-04,Roads,S94-04 - Road Contribution Sector 01,3915,0,,,,,2349,DA16/0510,car rental business and associated signage,car rental business and associated signage,1,Approved,2016-10-14,2016,708847,708847,TWEED HEADS,Lot 3 DP 335259,57 Boyd Street TWEED HEADS NSW 2485,Council,LEVIED,Sector1_4,3915,3915,3915,8086173,
S94-04,Roads,S94-04 - Road Contribution Sector 01,43891,DA15/0726 (as per recalc 5/5/22) AM,,,,,0,DA15/0726,demolition of existing structures and the construction of a residential flat building comprising 13 units,demolition of existing structures and the construction of a ,13,Approved,2016-07-07,2016,675091,675091,TWEED HEADS,"Lot 24 DP 1285565
Being Lots 1-13 SP 105041",Ayana 24 McGregor Crescent TWEED HEADS NSW 2485,Council,LEVIED,Sector1_4,43891,43891,43891,7683022,DA15/0726 (as per recalc 5/5/22) AM
S94-04,Roads,S94-04 - Road Contribution Sector 01,1291,0,,,,,0,CDC22/0067,"Private Certifier CDC - dual occupancy, attached garages and retaining walls","Private Certifier CDC - dual occupancy, attached garages and",,Approved,2022-06-21,2022,940346,940346,TWEED HEADS,Lot 10 DP 21234,9 Florence Street TWEED HEADS NSW 2485,Council,LEVIED,Sector1_4,1291,1291,1291,12781016,
S94-04,Roads,S94-04 - Road Contribution Sector 09,19249,"DA19/0698 (Stg 1) JT,DA19/0698 (Stg 2)JT",,,,,11549.4,DA19/0698,"staged alterations and additions to an existing light industrial premises (stage one, demolition of building two, ancillary earthworks, construction of a new light industrial building and signage and stage two, alterations to building one)",staged alterations and additions to an existing light indust,1,Approved,2020-04-03,2020,831942,831942,SOUTH MURWILLUMBAH,Lot 13 DP 624535,23 Lundberg Drive SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Sector9_4,11549.4,11549.4,19249,10918144,"DA19/0698 (Stg 1) JT,DA19/0698 (Stg 2)JT"
S94-26,Open Space,S94-26 - Casual Open Space (Regional),35756.21,DA17/0536 (as per recalc 17/11/2022) AM,,,,,35756.21,DA17/0536,shop top housing and commercial premises,shop top housing and commercial premises,2,Approved,2018-03-08,2018,751142,751142,TWEED HEADS,"Lot 1 Sec 4 DP 4570
Lot 2 Sec 4 DP 4570",79-81 Wharf Street TWEED HEADS NSW 2485,Council,LEVIED,CasOS_26,35756.21,35756.21,35756.21,11358959,DA17/0536 (as per recalc 17/11/2022) AM
S94-22,Roads,S94-22 - Cycleways,158,0,,,,,0,DA17/0532,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2017-10-30,2017,750960,750960,TWEED HEADS,Lot 106 SP 79995,106/20-22 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewid22,158,158,158,9100807,
S94-19,Community Facilities,S94-19 -Casuarina Beach - Comm Fac,,,-2298,0,,,0,DA15/0657,two lot subdivision with a dwelling on each proposed lot,two lot subdivision with a dwelling on each proposed lot,2,Approved,2015-10-06,2015,672964,672964,CASUARINA,Lot 65 DP 1182600,51 Laceflower Parade CASUARINA NSW 2487,Council,PAID,CommFac19,2298,2298,-2298,7415338,
S94-18,Other,S94-18 - Council Admin/Support Facilities,23227.44,DA15/0080 (as per recalc 1/8/2017) AM,,,,,0,DA15/0080,subdivision of five lots into 17 lots (Stage 13),subdivision of five lots into 17 lots (Stage 13),17,Approved,2016-05-13,2016,653774,653774,KINGSCLIFF,Lots 62-65 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Shirewide,23227.44,23227.44,23227.44,7630787,DA15/0080 (as per recalc 1/8/2017) AM
S94-25,Open Space,S94-25 - Kings Beach North (Open Space),,,-2718.63,0,,,0,DA19/0505,dual occupancy (detached) with pool,dual occupancy (detached) with pool,2,Approved,2019-11-29,2019,824845,824845,KINGSCLIFF,"Lot 362 DP 1087716
Being Lots 1-2 SP 101822",36 Avoca Street KINGSCLIFF NSW 2487,Council,PAID,OpenSpac25,2718.63,2718.63,-2718.63,10797358,
S94-13,Other,S94-13 - Eviron Cemetery,105,0,,,,,105,DA19/0504,additions and alterations to an existing dwelling to create an attached dual occupancy and two lot strata subdivision,additions and alterations to an existing dwelling to create ,1,Approved,2020-03-17,2020,824794,824794,POTTSVILLE,Lot 29 DP 23576,20 Tweed Coast Road POTTSVILLE NSW 2489,Council,LEVIED,ResDevt13,105,105,105,10893810,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),694,0,,,,,0,DA20/0148,alterations and additions including attached dual occupancy,alterations and additions including attached dual occupancy,1,Approved,2020-05-19,2020,847472,847472,TERRANORA,Lot 7 DP 776195,1 Highland Drive TERRANORA NSW 2486,Council,LEVIED,CasOS_26,694,694,694,10961380,
S94-28,Open Space,S94-28 - Structured Open Space (Regional),4692,0,,,,,0,DA20/0735,two storey dwelling with attached garage and in-ground swimming pool,two storey dwelling with attached garage and in-ground swimm,1,Approved,2020-12-07,2020,866967,866967,KINGSCLIFF,Lot 3 DP 1145386,39 Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,StrucOS_28,4692,4692,4692,11448977,
S94-11,Community Facilities,S94-11 - Library Facilities,1395,0,,,,,0,DA18/0519,"multi dwelling housing comprising three dwellings, the use of one dwelling as bed and breakfast accommodation and ancillary structures including water tanks and detached storage unit","multi dwelling housing comprising three dwellings, the use o",1,DefdComnce,2020-06-09,2020,783384,783384,BILAMBIL HEIGHTS,Lot 1 DP 775668,217 McAllisters Road BILAMBIL HEIGHTS NSW 2486,Council-Deferred,LEVIED,ResDevt11,1395,1395,1395,10982164,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-4186,0,,,0,DA19/0031,multi dwelling housing comprising six town houses,multi dwelling housing comprising six town houses,6,Approved,2019-12-13,2019,801487,801487,TWEED HEADS WEST,Lot 15 Sec 3 DP 9025,191 Kennedy Drive TWEED HEADS WEST NSW 2485,Council,PAID,ResDevt11,4186,4186,-4186,10810908,
S94-04,Roads,S94-04 - Road Contribution Sector 01,,,-2649,DA17/0215 (40% EMP Gen Dev) KLM,,,0,DA17/0215,change of use for tenancy 7 to business premises (beauty salon and hairdresser) including use of mezzanine and construction of associated signage,change of use for tenancy 7 to business premises (beauty sal,2,Approved,2017-08-10,2017,738258,738258,TWEED HEADS,Lot 7 SP 93739,7/29 Wharf Street TWEED HEADS NSW 2485,Council,PAID,Sector1_4,2649,2649,-2649,9014538,DA17/0215 (40% EMP Gen Dev) KLM
S94-05,Open Space,S94-05 - Structured Open Space (Local),558,0,,,,,0,DA16/0849,minor demolition and addition of attached dual occupancy to existing dwelling,minor demolition and addition of attached dual occupancy to ,1,Approved,2017-02-10,2017,723665,723665,CUDGEN,Lot 30 DP 811544,416 Cudgen Road CUDGEN NSW 2487,Council,LEVIED,StructOS_5,558,558,558,8220951,
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-484,0,,,0,DA17/0325,detached dual occupancy,detached dual occupancy,2,Approved,2017-08-02,2017,743126,743126,MURWILLUMBAH,"Lot 507 DP 1222426
Being Lots 1-2 SP 96768",76 Rous River Way MURWILLUMBAH NSW 2484,Council,PAID,StructOS_5,484,484,-484,9002329,
S94-07,Drainage,S94-07 - West Kcliff Community Drainage,2494.56,DA18/0860 (Stg 2),,,,,2494.56,DA18/0860,staged development of two lot torrens title subdivision and two semi-detached dwellings,staged development of two lot torrens title subdivision and ,2,Approved,2020-01-13,2020,793711,793711,KINGSCLIFF,Lot 9 Sec 7 DP 758571,73 Kingscliff Street KINGSCLIFF NSW 2487,Council,LEVIED,Drainage,2494.56,2494.56,2494.56,10825880,DA18/0860 (Stg 2)
S94-11,Community Facilities,S94-11 - Library Facilities,,,0,DA16/0795 (Contrib being refunded #758240)JT,,,0,DA16/0795,two lot subdivision and use of an existing structure as a dwelling,two lot subdivision and use of an existing structure as a dw,2,DefdComnce,2018-02-22,2018,721192,721192,TERRAGON,Lot 7 DP 1178620,2063 Kyogle Road TERRAGON NSW 2484,Council-Deferred,PAID,ResDevt11,616.99,616.99,0,9216771,DA16/0795 (Contrib being refunded #758240)JT
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-1093,0,,,0,DA17/0325,detached dual occupancy,detached dual occupancy,2,Approved,2017-08-02,2017,743126,743126,MURWILLUMBAH,"Lot 507 DP 1222426
Being Lots 1-2 SP 96768",76 Rous River Way MURWILLUMBAH NSW 2484,Council,PAID,ComFac15,1093,1093,-1093,9002333,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-13851,0,,,0,DA19/0058,three lots into twelve lots torrens title subdivision including all associated infrastructure works,three lots into twelve lots torrens title subdivision includ,12,Approved,2019-05-16,2019,802887,802887,KINGSCLIFF,"Lot 41 DP 1145386
Lot 42 DP 1145386
Lot 43 DP 1145386",Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,ComFac15,13851,13851,-13851,9981465,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-606.45,0,,,0,DA19/0140,boundary adjustment,boundary adjustment,2,Approved,2019-07-23,2019,806669,806669,KUNGHUR,"Lot 4 DP 262745
Lot 4 DP 1248837",37 Cooloon Street KUNGHUR NSW 2484,Council,PAID,ResDevt11,606.45,606.45,-606.45,10655786,
S94-04,Roads,S94-04 - Road Contribution Sector 06,28787,0,,,,,28787,DA21/0950,"demolition of existing structures and construction of a residential flat building (6 x 3 bedroom units) and (1 x 4 bedroom unit), swimming pool and basement car parking and vegetation works",demolition of existing structures and construction of a resi,7,DefdComnce,2022-12-08,2022,915799,915799,KINGSCLIFF,Lot 356 DP 755701,15 Murphys Road KINGSCLIFF NSW 2487,Council-Deferred,LEVIED,Sector6_4,28787,28787,28787,12822326,
S94-18,Other,S94-18 - Council Admin/Support Facilities,366.05,0,,,,,366.05,DA19/0666,alterations and additions to existing dual occupancy (attached) including carport,alterations and additions to existing dual occupancy (attach,1,Approved,2020-02-05,2020,830834,830834,BOGANGAR,"Lot 1701 DP 1243679
Being Lots 1-2 SP 101726",77 Cabarita Road BOGANGAR NSW 2488,Council,LEVIED,Shirewide,366.05,366.05,366.05,10857680,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),4601,0,,,,,0,DA20/0371,"dual occupancy (attached), swimming pools and 2 lot strata subdivision","dual occupancy (attached), swimming pools and 2 lot strata s",2,Approved,2020-12-09,2020,856032,856032,KINGSCLIFF,"Lot 10 DP 1262504
Being Lots 1-2 SP 105954",80 Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,StrucOS_26,4601,4601,4601,11454866,
S94-13,Other,S94-13 - Eviron Cemetery,1367,0,,,,,0,DA18/0558,residential flat building comprising 15 units (12 x 2 bedroom units and 3 x 3 bedroom units),residential flat building comprising 15 units (12 x 2 bedroo,1,Approved,2018-12-14,2018,784964,784964,TWEED HEADS SOUTH,Lot B DP 379713,32 Dry Dock Road TWEED HEADS SOUTH NSW 2486,Council,LEVIED,ResDevt13,1367,1367,1367,9831734,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-355,0,,,0,DA16/0053,single storey dual occupancy,single storey dual occupancy,2,Approved,2016-04-08,2016,689183,689183,MURWILLUMBAH,Lot 359 DP 1196575,23 Talganda Terrace MURWILLUMBAH NSW 2484,Council,PAID,ResDevt11,355,355,-355,7592115,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),3289,0,,,,,3289,DA15/0360,"four farm stay cabins, swimming pool and ancillary buildings and works","four farm stay cabins, swimming pool and ancillary buildings",1,Approved,2016-01-13,2016,664138,664138,CRYSTAL CREEK,Lot 2 DP 868528,325 Upper Crystal Creek Road CRYSTAL CREEK NSW 2484,Council,LEVIED,ComFac15,3289,3289,3289,7511925,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-30591,0,,,0,DA16/0102,multi dwelling housing development comprising 45 town houses,multi dwelling housing development comprising 45 town houses,45,Approved,2016-08-31,2016,691157,691157,TWEED HEADS SOUTH,"Lot 11 DP 1163855

Rated from 01/07/2016 to 08/06/2017",Fraser Drive TWEED HEADS SOUTH NSW 2486,Council,PAID,ResDevt11,30591,30591,-30591,8036688,
S94-22,Roads,S94-22 - Cycleways,,,-1917,0,,,0,DA19/0462,demolition of dwelling and garage and construction of 3 storey residential flat building comprising 5 x 3 bedroom units,demolition of dwelling and garage and construction of 3 stor,5,Approved,2019-12-11,2019,823167,823167,KINGSCLIFF,Lot 28 DP 21680,44 Sutherland Street KINGSCLIFF NSW 2487,Council,PAID,Shirewid22,44,44,-1917,10810536,
S94-22,Roads,S94-22 - Cycleways,429,0,,,,,0,DA17/0254,alterations and additions to create detached dual occupancy and 2 lot strata subdivision,alterations and additions to create detached dual occupancy ,2,Approved,2017-08-31,2017,740384,740384,POTTSVILLE,"Lot 20 DP 1275710
Now Being Lots 1-2 SP 103486",7 Anne Street POTTSVILLE NSW 2489,Council,LEVIED,Shirewid22,429,429,429,9034738,
S94-18,Other,S94-18 - Council Admin/Support Facilities,839.97,"DA21/0390 (Stg 1)JT,DA21/0390 (Stg 2)JT",,,,,0,DA21/0390,"10 units (general industry) in three (3) buildings in a staged development (2 stages), signage, landscaping and associated works, and use of front fence",10 units (general industry) in three (3) buildings in a stag,1,Approved,2022-08-17,2022,896250,896250,SOUTH MURWILLUMBAH,Lot 216 DP 1122768,8-12 Honeyeater Circuit SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Shirewide,839.97,839.97,839.97,12708608,"DA21/0390 (Stg 1)JT,DA21/0390 (Stg 2)JT"
S94-04,Roads,S94-04 - Road Contribution Sector 08 Pottsville,1885,0,,,,,0,DA18/0746,additional dwelling creating dual occupancy with carport and fence,additional dwelling creating dual occupancy with carport and,1,Approved,2019-02-01,2019,791066,791066,POTTSVILLE,"Lot 31 DP 1269385
Being Lots 1-2 SP 102406",5 Sarah Court POTTSVILLE NSW 2489,Council,LEVIED,Sector8_4,1885,1885,1885,9873873,
S94-05,Open Space,S94-05 - Structured Open Space (Local),968,0,,,,,0,DA17/0689,two dual occupancy developments,two dual occupancy developments,4,Approved,2018-02-09,2018,756757,756757,BANORA POINT,Lot 32 DP 1231602,14 Anthony Avenue BANORA POINT NSW 2486,Council,LEVIED,StructOS_5,968,968,968,9202822,
S94-11,Community Facilities,S94-11 - Library Facilities,13616,0,,,,,0,DA15/0079,subdivision of six lots into 22 lots (Stage 11),subdivision of six lots into 22 lots (Stage 11),22,Approved,2016-05-13,2016,653720,653720,KINGSCLIFF,Lots 45-49 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt11,13616,13616,13616,7630767,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-137863,0,,,0,DA17/0358,manufactured home estate,manufactured home estate,1,Approved,2018-07-06,2018,744232,744232,TWEED HEADS SOUTH,Lot 1 DP 1074784,136-150 Dry Dock Road TWEED HEADS SOUTH NSW 2486,Council,PAID,ComFac15,144796,144796,-137863,9351724,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-1825,0,,,0,DA15/0828,three townhouses,three townhouses,3,Approved,2016-07-28,2016,678365,678365,BOGANGAR,Lot 53 SP 91510,53/77 Tamarind Avenue BOGANGAR NSW 2488,Council,PAID,ResDevt11,1825,1825,-1825,7987297,
S94-04,Roads,S94-04 - Road Contribution LCA4,4674,0,,,,,0,DA17/0094,alterations and additions to recreation facility for surfing education and training centre,alterations and additions to recreation facility for surfing,1,DefdComnce,2017-07-13,2017,733272,733272,CASUARINA,Lot 10 DP 1201448,9 Barclay Drive CASUARINA NSW 2487,Council-Deferred,LEVIED,LCA-4,4674,4674,4674,8972166,
