Year,Contribution Plan Number,Contribution Plan Description,Expenditure Description,Contribution Ledger Number,Expenditure Ledger Number,Income Ledger Number,Period,Jrnl,Period Amt,Notes
2003-04,None,BLACK ROCKS BRIDGE,"$700,000 Adj 30/06/04",89.09.00.91400,A4500,A4551.0793,1/6/2004-30/6/2004,1236,-616465.88,
2004-05,1,DCP3 PASSIVE OPEN SPACE,South Tweed Carpark,01.15.00.91400,A3126,A3225.0794,1/1/2005-28/2/2005,,48438,
2004-05,1,DCP3 PASSIVE OPEN SPACE,Passive Recreation,01.15.00.91400,A3125.0001,A3031.0793,1/6/2005-30/6/2005,1179,19353,
2004-05,1,DCP3 PASSIVE OPEN SPACE,Plan 1 CASUAL open space,01.15.00.91400,A3125.3239,A3031.0793,1/1/2005-28/2/2005,,1111,
2004-05,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),02.01.00.91400,A4685 A4686,A3810.7016,1/6/2005-30/6/2005,1180,126,
2004-05,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A2442     A1145       A1143         A2441,A2456.0793,1/7/2004-31/10/2004,391,263645,
2004-05,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A2442     A1145       A1143         A2441,A2456.0793,1/1/2005-28/2/2005,,1064112,
2004-05,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A2442     A1145       A1143         A2441,A2456.0793,1/6/2005-30/6/2005,1181,237696,
2004-05,3,DCP3 COMMUNITY CENTRE,Establishment Worker,03.06.00.91400,A2443,A2456.0793,1/6/2005-30/6/2005,1350,16709,
2004-05,4,TRCP,DULGUIGAN ROAD,04.02.00.91400,A3636.001,A3807.0793,1/1/2005-28/2/2005,,17727,
2004-05,4,TRCP,Fraser Drive,04.02.00.91400,A3643 A4686,A3807.0793,1/1/2005-28/2/2005,,374,
2004-05,4,TRCP,Fraser Drive,04.02.00.91400,A3643 A4686,A3807.0793,1/6/2005-30/6/2005,1182,557,
2004-05,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A4011,A3807.0793,1/7/2004-31/10/2004,392,3787,
2004-05,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A4011,A3807.0793,1/1/2005-28/2/2005,,2673,
2004-05,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3646 ,A3807.0793,1/7/2004-31/10/2004,393,361055,
2004-05,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3646 ,A3807.0793,1/1/2005-28/2/2005,,4399,
2004-05,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3646 ,A3807.0793,1/6/2005-30/6/2005,1182,1504,
2004-05,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3639,A3807.0793,1/7/2004-31/10/2004,394,25236,
2004-05,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3639,A3807.0793,1/1/2005-28/2/2005,,76864,
2004-05,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3639,A3807.0793,1/6/2005-30/6/2005,1182,85636,
2004-05,4,TRCP,"Kirkwood Rd Survey, Design & Construction Mgt",04.02.00.91400,A5216,A3807.0793,1/6/2005-30/6/2005,1351,548782.66,
2004-05,4,TRCP,Leisure/Darlington Dr & Tweed Coast Road,04.02.00.91400,A3640 A3647,A3807.0793,1/7/2004-31/10/2004,395,3128,
2004-05,4,TRCP,Leisure/Darlington Dr & Tweed Coast Road,04.02.00.91400,A3640 A3647,A3807.0793,1/1/2005-28/2/2005,,14558,
2004-05,4,TRCP,Leisure/Darlington Dr & Tweed Coast Road,04.02.00.91400,A3640 A3647,A3807.0793,1/6/2005-30/6/2005,1182,9618,
2004-05,4,TRCP,Leisure/Darlington Drive,04.02.00.91400, A3641,A3807.0793,1/6/2005-30/6/2005,1352,480655.71,
2004-05,4,TRCP,Machinery/Minjungbal Dr,04.02.00.91400,A3642,A3807.0793,1/6/2005-30/6/2005,1182,17841,
2004-05,4,TRCP,Elrond Drive Landscaping,04.02.00.91400,A3643 A4686,A3807.0793,1/6/2005-30/6/2005,1353,930.57,
2004-05,4,TRCP,McAllisters Road,04.02.00.91400,A3648,A3807.0793,1/6/2005-30/6/2005,1354,5670.98,
2004-05,4,TRCP,LOAN 190 PRINCIPAL & INTEREST,04.02.00.91400,A4000,A3807.0793,1/6/2005-30/6/2005,1202,215701,
2004-05,4,TRCP,"Rvsl part recoups Frase/Leisure Drive, Rvsl ref Dept Commerce Grant",04.02.00.91400,,A3807.0793,1/6/2005-30/6/2005,1196,-308854,
2004-05,5,OPEN SPACE,Les Burger Field,05.16.02.91400,A2200,A7899.2120,1/6/2005-30/6/2005,1183,234,
2004-05,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/6/2005-30/6/2005,various,10016.32,
2004-05,5,STRUCTURED OPEN SPACE,Round Mtn,05.16.00.91400,A3026.4034,A3031.0793,1/1/2005-28/2/2005,,17253,
2004-05,5,STRUCTURED OPEN SPACE,Round Mtn,05.16.00.91400,A3026.4034,A3031.0793,1/6/2005-30/6/2005,1184,53678.05,
2004-05,5,OPEN SPACE,Passive recreation Pottsville,05.15.00.91400,A3125.4013,A3225.2084,1/7/2004-31/10/2004,396,2975,
2004-05,5,OPEN SPACE,Passive recreation Pottsville,05.15.00.91400,A3125.4013,A3225.2084,1/1/2005-28/2/2005,,1925,
2004-05,5,OPEN SPACE,Passive recreation Bogangar,05.15.00.91400,A3125.2178,A3225.2084,1/6/2005-30/6/2005,1185,20464,
2004-05,5,OPEN SPACE,Pool refurbishment,05.16.00.91400,A2752,A2753.0793,1/7/2004-31/10/2004,397,12858,
2004-05,5,OPEN SPACE,Pool refurbishment,05.16.00.91400,A2752,A2753.0793,1/6/2005-30/6/2005,1186,2519,
2004-05,6,CONTRIBUTION STREET TREES,,06.08.00.91400,A3118.0001,A3225.2085,1/7/2004-31/10/2004,398,776,
2004-05,6,CONTRIBUTION STREET TREES,,06.08.00.91400,A3118.0001,A3225.2085,1/1/2005-28/2/2005,,995,
2004-05,6,CONTRIBUTION STREET TREES,,06.08.00.91400,A3118.0001,A3225.2085,1/6/2005-30/6/2005,1187,17369,
2004-05,7,KINGSCLIFF DRAINAGE,,07.01.00.91400,A1122,A3810.7016,1/6/2005-30/6/2005,1188,1390,
2004-05,11,LIBRARIES,PART REGIONAL LBRARY CONTRIBUTION Bookstock,11.06.00.91400,A2295,A2346,1/6/2005-30/6/2005,1203,256300,
2004-05,11,LIBRARIES,,11.06.00.91400,A2282 A2348, A2346,1/6/2005-30/6/2005,1247,86300,
2004-05,12,Bus Shelters,,12.10.00.45095,A5633,A5634,1/7/2004-31/10/2004,399,4712,
2004-05,12,Bus Shelters,,12.10.00.45095,A5633,A5634,1/6/2005-30/6/2005,1189,5141,
2004-05,13,CEMETERIES,ENVIRON CEMETERY Loan,13.11.00.91400,A2800,A2895.0793,1/6/2005-30/6/2005,1205,63000,
2004-05,13,CEMETERIES,ENVIRON CEMETERY,13.11.00.91400,A2800,A2895.0793,1/6/2005-30/6/2005,1190,175,
2004-05,15,COMMUNITY FACILITIES STH,Refurbishment Pottsville School,15.06.02.91400,A0445 A2170 A2456,A2455.0741.91400,1/1/2005-28/2/2005,,10595,
2004-05,16,SLSC,Equipment Purchases,16.12.00.91400,A2065 A0082,A2065.0749,1/7/2004-31/10/2004,400,24953,
2004-05,16,SLSC,Equipment Purchases,16.12.00.91400,A2065 A0082,A2065.0749,1/1/2005-28/2/2005,,1550,
2004-05,16,SLSC,Equipment Purchases,16.12.00.91400,A2065 A0082,A2065.0749,1/6/2005-30/6/2005,1191,11166,
2004-05,18,Council Tech. Facilities,Civic Centre Extensions Debt Servicing,18.13.00.91400,A2135,A2237,1/6/2005-30/6/2005,1204,133753,
2004-05,19,Kings Beach,CP 19 advertisement,1905.00.91400,A3637,A7822,1/6/2005-30/6/2005,1192,3535,
2004-05,22,SHIREWIDE CYCLEWAYS,"Tweed Link advertising & consultants fees, $125850 Grant fully Expended         $125850 S94",22.07.00.91400,A4832 A5658,A3225.2086,1/6/2005-30/6/2005,1192,19715,
2004-05,23,CP23 Car Park,General,23.04.04.91400 A5616.0793,A5615,A5616,1/1/2005-28/2/2005,,6429,
2004-05,26,Shirewide Open Spcae,,26.05.00.91400,A2470,A7899.2120,1/6/2005-30/6/2005,1194,9500,
2004-05,None,Community Facilities Shirewide,Valuations,96.06.00.91400,A2455,A2455.0741,1/7/2004-31/10/2004,401,5000,
2004-05,None,Community Facilities Shirewide,Valuations,96.06.00.91400,A2455,A2455.0741,1/1/2005-28/2/2005,,67481,
2004-05,None,Community Facilities Shirewide,Valuations,96.06.00.91400,A2455,A2455.0741,1/6/2005-30/6/2005,1195,402,
2005-06,1,DCP3 PASSIVE OPEN SPACE,Lake Kimberley land purchase,01.15.00.91400,A3126,A3225.3239,1/11/2006-31/3/2006,945,241151.35,
2005-06,1,DCP3 PASSIVE OPEN SPACE,Lake Kimberley land purchase,01.15.00.91400,A3126,A3225.3239,1/6/2006-30/6/2006,1418,54.55,
2005-06,1,DCP3 ACTIVE OPEN SPACE,Playground & Dave Burns Field irrigation Sth Twd,01.16.00.91400,A367,A7899.2120,1/7/2005-31/10/2005,377,625,
2005-06,1,DCP3 PASSIVE OPEN SPACE,Passive Recreation,01.15.00.91400,A3125.0001 A2178,A3031.0793,1/7/2005-31/10/2005,364,4876,
2005-06,1,DCP3 PASSIVE OPEN SPACE,Lake Kimberley land purchase,01.15.00.91400,A3125,A3225.3239,1/11/2006-31/3/2006,946,245266.65,
2005-06,1,DCP3 PASSIVE OPEN SPACE,Quota Park,01.15.00.91400,"A3215, A3125.2179",A3031.0793,1/11/2006-31/3/2006,947,2000,
2005-06,1,DCP3 PASSIVE OPEN SPACE,Plan 1 CASUAL open space,01.15.00.91400,"A3125.3239,A3125.0001/2178",A3031.0793,1/11/2006-31/3/2006,948,21726.33,
2005-06,1,DCP3 PASSIVE OPEN SPACE,Plan 1 CASUAL open space,01.15.00.91400,"A3125.3239,A3125.0001/2178",A3031.0793,1/6/2006-30/6/2006,1419,1955.8,
2005-06,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),02.01.00.91400,A4685  A4705,A3810.7016,1/7/2005-31/10/2005,,36,
2005-06,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),02.01.00.91400,A4685  A4705,A3810.7016,1/11/2006-31/3/2006,949,380.73,
2005-06,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),02.01.00.91400,A4685  A4705,A3810.7016,1/6/2006-30/6/2006,1420,22.51,
2005-06,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A2442     A1145       A1143         A2441,A2456.0793,1/7/2005-31/10/2005,391,1771,
2005-06,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A2442     A1145       A1143         A2441,A2456.0793,1/6/2006-30/6/2006,1422,-1771,
2005-06,4,TRCP,DULGUIGAN ROAD,04.02.00.91400,A4011,A3807.0793,1/7/2005-31/10/2005,367,1786,
2005-06,4,TRCP,Fraser Drive,04.02.00.91400,A3643 A4686,A3807.0793,1/7/2005-31/10/2005,368,128647,
2005-06,4,TRCP,Fraser Drive,04.02.00.91400,A3643 A4686,A3807.0793,1/6/2006-30/6/2006,1423,-127701.16,
2005-06,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3639,A3807.0793,1/11/2006-31/3/2006,950,51778.05,
2005-06,4,TRCP,Fraser/Leisure Drive,04.02.00.91400,A3639,A3807.0793,1/6/2006-30/6/2006,1426,9787.74,
2005-06,4,TRCP,Advertising,04.02.00.91400,A7820,A3807.0793,1/6/2006-30/6/2006,1427,3027.04,
2005-06,4,TRCP,"Kirkwood Rd Survey, Design & Construction Mgt",04.02.00.91400,A5216,A3807.0793,1/7/2005-31/10/2005,369,181,
2005-06,4,TRCP,"Kirkwood Rd Survey, Design & Construction Mgt",04.02.00.91400,A5216,A3807.0793,1/11/2006-31/3/2006,951,180.84,
2005-06,4,TRCP,"Kirkwood Rd Survey, Design & Construction Mgt",04.02.00.91400,A5216,A3807.0793,1/6/2006-30/6/2006,1471,1719,
2005-06,4,TRCP,Tweed Coast Road,04.02.00.91400,A3647,A3807.0793,1/7/2005-31/10/2005,370,1880,
2005-06,4,TRCP,Tweed Coast Road,04.02.00.91400,A3647,A3807.0793,1/11/2006-31/3/2006,952,75814.79,
2005-06,4,TRCP,Tweed Coast Road,04.02.00.91400,A3647,A3807.0793,1/6/2006-30/6/2006,1471,95,
2005-06,4,TRCP,Leisure/Darlington Drive,04.02.00.91400, A3641,A3807.0793,1/7/2005-31/10/2005,371,227,
2005-06,4,TRCP,Leisure/Darlington Drive,04.02.00.91400, A3641,A3807.0793,1/6/2006-30/6/2006,1471,-227,
2005-06,4,TRCP,Tugun Bypass Legal Costs,04.02.00.91400,A5219.0066.34210,A3807.0793,1/11/2006-31/3/2006,954,710.5,
2005-06,4,TRCP,Elrond Drive Landscaping,04.02.00.91400,A3643 A4686,A3807.0793,1/7/2005-31/10/2005,372,472,
2005-06,4,TRCP,Elrond Drive Landscaping,04.02.00.91400,A3643 A4686,A3807.0793,1/11/2006-31/3/2006,955,369.09,
2005-06,4,TRCP,Elrond Drive Landscaping,04.02.00.91400,A3643 A4686,A3807.0793,1/6/2006-30/6/2006,1471,104.75,
2005-06,4,TRCP,Cudgen Creek Pedestrian Bridge,04.02.00.91400,A5220,A3807.0793,1/11/2006-31/3/2006,956,120,
2005-06,4,TRCP,Cudgen Creek Pedestrian Bridge,04.02.00.91400,A5220,A3807.0793,1/6/2006-30/6/2006,1471,2006.23,
2005-06,4,TRCP,Shallow Bay Drive,04.02.00.91400,A5655 RTA grant $185000,A3807.0793,1/6/2006-30/6/2006,1428,194971.86,
2005-06,4,TRCP,Traffic study Ban Pt Twd Hds Sth,04.02.00.91400,A4011,A3807.0793,1/11/2006-31/3/2006,957,1786.12,
2005-06,4,TRCP,Traffic study Ban Pt Twd Hds Sth,04.02.00.91400,A4011 Rvsl ref Dept Commerce Grant,A3807.0793,1/6/2006-30/6/2006,1471,-1786.12,
2005-06,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/7/2005-31/10/2005,675,6677,
2005-06,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/6/2006-30/6/2006,various,6569.09,
2005-06,5,STRUCTURED OPEN SPACE,General,05.16.00.91400,A3026.4034,A3031.0793,1/11/2006-31/3/2006,958,292.72,
2005-06,5,STRUCTURED OPEN SPACE,Knox Park,05.16.00.91400,A3026.2037,A3031.0793,1/11/2006-31/3/2006,958,136,
2005-06,5,STRUCTURED OPEN SPACE,Les Cave/Rabjones,05.16.00.91400,A3026.2181,A3031.0793,1/11/2006-31/3/2006,958,24.15,
2005-06,5,STRUCTURED OPEN SPACE,West Murwillumbah,05.16.00.91400,A3026.2182,A3031.0793,1/11/2006-31/3/2006,958,249.75,
2005-06,5,STRUCTURED OPEN SPACE,Pottsville,05.16.00.91400,A3026.4013,A3031.0793,1/11/2006-31/3/2006,958,7579.53,
2005-06,5,OPEN SPACE,Murwillumbah Pool Car Park,05.15.00.91400,A4865,A3225.2084,Adj 30/6/2006,1666,2267,
2005-06,5,OPEN SPACE,Pool refurbishment,05.16.00.91400,A2752,A2753.0793,1/11/2006-31/3/2006,959,10661.88,
2005-06,5,OPEN SPACE,Pool refurbishment,05.16.00.91400,A2752,A2753.0793,1/6/2006-30/6/2006,1429,205664.56,
2005-06,5,OPEN SPACE,Pool refurbishment,05.16.00.91400,A2752,A2753.0793,Adj 30/6/2006,1668,-216326.44,
2005-06,6,CONTRIBUTION STREET TREES,,06.08.00.91400,A3118.0001,A3225.2085,1/7/2005-31/10/2005,373,16960,
2005-06,6,CONTRIBUTION STREET TREES,,06.08.00.91400,A3118.0001,A3225.2085,1/6/2006-30/6/2006,1430,12502.18,
2005-06,11,LIBRARIES,PART REGIONAL LBRARY CONTRIBUTION Bookstock,11.06.00.91400,A2295,A2346,1/6/2006-30/6/2006,1431,170000,
2005-06,13,CEMETERIES,ENVIRON CEMETERY Loan,13.11.00.91400,A2800,A2895.0793,1/6/2006-30/6/2006,1432,37000,
2005-06,15,COMMUNITY FACILITIES NTH,,15.06.01.91400,,A2455.0741.91400,1/6/2006-30/6/2006,1433,2914.68,
2005-06,15,COMMUNITY FACILITIES NTH,,15.06.01.91400,,A2455.0741.91400,Adj 30/6/2006,1730,-2941.68,
2005-06,16,SLSC,Equipment Purchases,16.12.00.91400,A2065 A0082 A2068,A2065.0749,1/7/2005-31/10/2005,374,108,
2005-06,16,SLSC,SLSC,16.12.00.91400,A2065,A2065.0749,Adj 30/6/2006,1730,2941.68,
2005-06,16,SLSC,"Cabarita Surf Club Construction S94 Contribution plan $650,000",16.12.00.91400,A2068,A2065.0749,Adj 30/6/2006,1669,424391,
2005-06,16,SLSC,Cabarita Surf Club P & I loan,15.06.02.91400,A2065 A0082 A2067 A2068 A2065 A2067,A2065.0749,1/7/2005-31/10/2005,375 376,37591,
2005-06,16,SLSC,Cabarita Surf Club P & I loan,15.06.02.91400,A2065 A0082 A2067 A2068 A2065 A2067,A2065.0749,1/6/2006-30/6/2006,375,3000,
2005-06,18,Council Tech. Facilities,Civic Centre Extensions Debt servicing,18.13.00.91400,A2135,A2237,1/6/2006-30/6/2006,1434,434074,
2005-06,19,Kings Beach,CP 19 advertisement,1905.00.91400,A3637,A4002.0793,1/11/2006-31/3/2006,960,108.2,
2005-06,22,SHIREWIDE CYCLEWAYS,Tweed Link advertising & consultants fees,22.07.00.91400,A4832 A5658,A4844.0793,1/7/2005-31/10/2005,378,15860, $125850 + $48550 Grant fully Expended         $125850 + $48550 S94 = Total $348800
2005-06,22,SHIREWIDE CYCLEWAYS,Tweed Link advertising & consultants fees,22.07.00.91400,A4832 A5658,A4844.0793,1/11/2006-31/3/2006,961,69473.84, $125850 + $48550 Grant fully Expended         $125850 + $48550 S94 = Total $348800
2005-06,23,CP23 Car Park,,23.04.02.31400,A2746,A5616.0793,1/11/2006-31/3/2006,962,8358.41,
2005-06,23,CP23 Car Park,,23.04.02.31400,A2746,A5616.0793,1/6/2006-30/6/2006,1435,206399.25,
2005-06,23,CP23 Car Park,Bogangar,23.04.04.31400,A4859,A5616,1/11/2006-31/3/2006,962,22725,
2005-06,26,Shirewide Open Spcae,Coastal Landscaping Strategy,26.15.00.91400,A3127,A3225.0793,1/11/2006-31/3/2006,963,45428.06,
2005-06,26,Shirewide Open Space,Passive recreation,26.15.00.91400,A3225,A3225.0793,1/11/2006-31/3/2006,964,31609.95,
2005-06,26,Shirewide Open Space,Passive recreation,26.15.00.91400,A3225,A3225.0793,1/6/2006-30/6/2006,1436,-29774.9,
2005-06,26,Shirewide Open Spcae,Murwillumbah Pool Reburbishment,26.15.00.91400,A3127,A3225.0793,1/6/2006-30/6/2006,1437,35125.84,
2005-06,26,Shirewide Open Spcae,Murwillumbah Pool Reburbishment,26.15.00.91400,A3127,A3225.0793,Adj 30/6/2006,1667,216326.44,
2005-06,None,DCP3 FOOTPATH CONSTRUCTION,Various Footpaths,90.07.00.91400,A5608,A3225.2086,1/11/2006-31/3/2006,965,29132.44,
2005-06,None,DCP3 FOOTPATH CONSTRUCTION,Various Footpaths,90.07.00.91400,A5608,A3225.2086,1/6/2006-30/6/2006,1438 1439,20416.8,
2005-06,None,Community Facilities Shirewide,Valuations,96.06.00.91400,A2455,A2455.0793,1/11/2006-31/3/2006,966,225,
2005-06,None,RRDC,KYOGLE RD,99.02.12.91400,A3649,A3810.7017,1/11/2006-31/3/2006,967,478.09, Annual Recoup deferred to 2005/06
2006-07,1,DCP3 PASSIVE OPEN SPACE,Passive Recreation,01.15.00.91400,A3125.0001 ,A3031.0793,1/7/2006-31/12/2006,663,9463,
2006-07,1,DCP3 PASSIVE OPEN SPACE,Plan 1 CASUAL open space,01.15.00.91400,A3125.3239 A3125.0001/2178,A3031.0793,1/6/2007-30/6/2007,1457,6005,
2006-07,1,DCP3 PASSIVE OPEN SPACE,Banora Point Design work,01.15.00.91400,A3126,A3225.3239,1/7/2006-31/12/2006,662,6195,
2006-07,1,DCP3 PASSIVE OPEN SPACE,Banora Point,01.15.00.91400,A3125,A3031.0793,1/7/2006-31/12/2006,664,1005,
2006-07,1,DCP3 PASSIVE OPEN SPACE,Banora Point,01.15.00.91400,A3125,A3031.0793,1/1/2007-31/3/2007,1364,313,
2006-07,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),02.01.00.91400,A4685  A4705,A3810.7016,1/7/2006-31/12/2006,665,416,A4705
2006-07,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A2442     A1145       A1143         A2441,A2456.0793,1/7/2006-31/12/2006,666,3532,
2006-07,3,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,03.06.00.91400,A2442     A1145       A1143         A2441,A2456.0793,1/6/2007-30/6/2007,1365,96.49,
2006-07,4,TRCP,Contracts Supervision,04.02.00.91400,T Benett,A3807.0793,1/6/2007-30/6/2007,1431,4084.23,Contracts Supervision
2006-07,4,TRCP,Darlington/Leisure Drive,04.02.00.91400,A3640,A3807.0793,1/6/2007-30/6/2007,1366,135620.54,
2006-07,4,TRCP,Elrond Drive Landscaping,04.02.00.91400,A3643,A3807.0793,1/7/2006-31/12/2006,667,898,
2006-07,4,TRCP,Elrond Drive Landscaping,04.02.00.91400,A3643,A3807.0793,1/6/2007-30/6/2007,1367,28.41,
2006-07,4,TRCP,Tweed Coast Road,04.02.00.91400,A3647,A3807.0793,1/6/2007-30/6/2007,1368,390166.8,
2006-07,4,TRCP,"Kirkwood Rd Survey, Design & Construction Mgt",04.02.00.91400,A5216,A3807.0793,1/6/2007-30/6/2007,1369,6536.31,
2006-07,4,TRCP,Koala Beach/Seabeeze Link Road,04.02.00.91400,A5217,A3807.0793,1/6/2007-30/6/2007,1370,17392.69,
2006-07,4,TRCP,Scenic Drive diversion,04.02.00.91400,A5218.0015,A3807.0793,1/7/2006-31/12/2006,668,17498,
2006-07,4,TRCP,Scenic Drive diversion,04.02.00.91400,A5218.0015,A3807.0793,1/6/2007-30/6/2007,1371,91567,
2006-07,4,TRCP,Tugun Bypass,04.02.00.91400,A5219.0066.34210,A3807.0793,1/7/2006-31/12/2006,669,8025,
2006-07,4,TRCP,Tugun Bypass,04.02.00.91400,A5219.0066.34210,A3807.0793,1/6/2007-30/6/2007,1372,2047102.44,
2006-07,4,TRCP,Cudgen Creek Pedestrian Bridge,04.02.00.91400,A5220,A3807.0793,1/7/2006-31/12/2006,670,16244,
2006-07,4,TRCP,Cudgen Creek Pedestrian Bridge,04.02.00.91400,A5220,A3807.0793,1/6/2007-30/6/2007,1373,25357.67,
2006-07,4,TRCP,Cudgen Creek Pedestrian Bridge,04.02.00.91400,A5220,A3807.0793,C fward 30/6/2007,,-41601.67,
2006-07,4,TRCP,Shallow Bay Drive,04.02.00.91400,A5655,A3807.0793,1/7/2006-31/12/2006,671,101745,A5655 RTA grant $185000 2005/06
2006-07,4,TRCP,Shallow Bay Drive,04.02.00.91400,A5655,A3807.0793,1/6/2007-30/6/2007,1458,368,
2006-07,5,OPEN SPACE,Contracts supervision,05.16.03.91400,Tony Benett,A3031.0793,1/6/2007-30/6/2007,1432,674.72,Contracts Supervision
2006-07,5,OPEN SPACE,PIGGABEEN SPORTSFIELD Interest,05.16.00.91400,A0553,A0053.0016.91400 Piggabeen ONLY,1/6/2007-30/6/2007,1374,13246.09,
2006-07,5,STRUCTURED OPEN SPACE,,05.16.00.91400,A3026.2037.2138.2182.2250.4013.4035,A3031.0793,1/7/2006-31/12/2006,649,53578,
2006-07,5,STRUCTURED OPEN SPACE,,05.16.00.91400,A3026.2037.2138.2182.2250.4013.4035,A3031.0793,1/6/2007-30/6/2007,1375,-2756.96,
2006-07,5,STRUCTURED OPEN SPACE,Pottsville,05.16.00.91400,A3026.4013,A3031.0793,1/7/2006-31/12/2006,650,2121,
2006-07,5,OPEN SPACE,Ron Wilkinson Park,05.15.00.91400,A3034,A3225.2084,1/7/2006-31/12/2006,651,59392,
2006-07,5,OPEN SPACE,Ron Wilkinson Park,05.15.00.91400,A3034,A3225.2084,1/6/2007-30/6/2007,1376,57502.71,
2006-07,5,OPEN SPACE,,05.15.00.91400,A3125.2021.2180.2254.3239,A3225.2084,1/7/2006-31/12/2006,652,878,
2006-07,5,OPEN SPACE,,05.15.00.91400,A3125.2021.2180.2254.3239,A3225.2084,1/6/2007-30/6/2007,1377,40812.28,
2006-07,6,CONTRIBUTION STREET TREES,Tree purchases,06.08.00.91400,A3118.0001,A3225.2085,1/7/2006-31/12/2006,653,44558,
2006-07,6,CONTRIBUTION STREET TREES,Tree purchases,06.08.00.91400,A3118.0001,A3225.2085,1/6/2007-30/6/2007,1378,4801.92,
2006-07,7,KINGSCLIFF DRAINAGE,,07.01.00.91400,A4696.7101,A3810.7016,1/6/2007-30/6/2007,1459,4168.24,
2006-07,11,LIBRARIES,PART REGIONAL LBRARY CONTRIBUTION,11.06.00.91400,A2295,A2346,1/6/2007-30/6/2007,1379,170000,
2006-07,11,LIBRARIES,Bookstock,11.06.00.91400,A2280 A2282 A2347  , A2346,1/6/2007-30/6/2007,1380,5134.3,
2006-07,13,CEMETERIES,ENVIRON CEMETERY Loan,13.11.00.91400,A2800,A2895.0793,1/6/2007-30/6/2007,1381,63000,
2006-07,16,SLSC,"Equipment Purchases/Cabarita Surf Club Construction S94 Contribution plan $650,000",16.12.00.91400,A2065 A0082,A2065.0749,1/7/2006-31/12/2006,654,47881,
2006-07,16,SLSC,"Equipment Purchases/Cabarita Surf Club Construction S94 Contribution plan $650,000",16.12.00.91400,A2065 A0082,A2065.0749,1/1/2007-31/3/2007,1424,35408.76,
2006-07,16,SLSC,"Equipment Purchases/Cabarita Surf Club Construction S94 Contribution plan $650,000",16.12.00.91400,A2065 A0082,A2065.0749,1/6/2007-30/6/2007,1382,-14428.42,
2006-07,16,SLSC,SALT SLSC expenditure,16.12.00.91400,A2065 A0082,A2065.0749,1/6/2007-30/6/2007,1396,17283.91,A2065 A2067
2006-07,16,SLSC,Cabarita SLSC,16.06.02.91400,A2068,A2065.0749,1/6/2007-30/6/2007,1383,225609,"A2068 Total recouped 2005 to 2007 $650,000"
2006-07,18,Council Tech. Facilities,Contracts supervision,18.13.00.91400,T Bennett,A2237,1/6/2007-30/6/2007,1433,6870.19,Contracts Supervision
2006-07,18,Council Tech. Facilities,Civic Centre Loans,18.13.00.91400,A2135,A2237,1/6/2007-30/6/2007,1384,402244.43,A2135 Debt servicing
2006-07,18,Council Tech. Facilities,Tweed Depot,18.13.00.91400,A4905,A2237,1/6/2007-30/6/2007,1385,63857,
2006-07,18,Council Tech. Facilities,Depot Loans,18.13.00.91400,A4910,A2237,1/6/2007-30/6/2007,1386,36000,A4905
