Purpose,Transaction Year,Transaction Date,Transaction Type,Receipt Type,Plan,Levy,LEVIED,PAID,BALANCE,Application ID,Application Description,Short Description,Lots,Approval Date,Approval Year,locality,DECISION,Determined By,Works In Kind,Works In Kind Description,CHARGE_TYPE,APPLICATION_NO,RAM_PROCESS_CTR,Initial Balance,Charge Amount
Other,2018,2018-10-30T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,53,,0,DA17/0873,additions to an existing garage to construct an attached dual occupancy and swimming pools,additions to an existing garage to construct an attached dua,1,2018-10-30T11:19:44,2018,TWEED HEADS,Approved,Council,FALSE,,Over10ET,762673,762673,53,53
Other,2017,2017-12-18T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,31469,,31469,DA16/0056,"staged development application under Section 83B of the EP&A Act 1979 development of precincts 6, 7, 8, 9, 10, 11 & 12 – Cobaki Lakes, stage 2 – part Precinct 6 and Stage 3 part Precinct 7 comprising 452 residential lots, 8 public open space lots, 1 school lot, residual lots and associated infrastructure (JRPP)",staged development application under Section 83B of the EP&A,473,2017-12-18T10:24:24,2017,COBAKI LAKES,DefdComnce,,FALSE,,Over10ET,689324,689324,31469,31469
Other,2017,2017-12-18T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,60550,,60550,DA16/0056,"staged development application under Section 83B of the EP&A Act 1979 development of precincts 6, 7, 8, 9, 10, 11 & 12 – Cobaki Lakes, stage 2 – part Precinct 6 and Stage 3 part Precinct 7 comprising 452 residential lots, 8 public open space lots, 1 school lot, residual lots and associated infrastructure (JRPP)",staged development application under Section 83B of the EP&A,473,2017-12-18T10:24:24,2017,COBAKI LAKES,DefdComnce,,FALSE,,ResDevt13,689324,689324,60550,60550
Other,2017,2017-12-18T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,922806.87,,922806.87,DA16/0056,"staged development application under Section 83B of the EP&A Act 1979 development of precincts 6, 7, 8, 9, 10, 11 & 12 – Cobaki Lakes, stage 2 – part Precinct 6 and Stage 3 part Precinct 7 comprising 452 residential lots, 8 public open space lots, 1 school lot, residual lots and associated infrastructure (JRPP)",staged development application under Section 83B of the EP&A,473,2017-12-18T10:24:24,2017,COBAKI LAKES,DefdComnce,,FALSE,,Shirewide,689324,689324,922806.87,922806.87
Other,2020,2020-08-26T00:00:00,Charge,Charge,S94-28,S94-28 - Seaside City,58429,,0,DA20/0430,two storey dwelling with underground basement and in-ground swimming pool (as amended),two storey dwelling with underground basement and in-ground ,1,2020-08-26T10:37:47,2020,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,857544,857544,58429,58429
Other,2020,2020-12-01T00:00:00,Charge,ChgAdj,S94-28,S94-28 - Seaside City,58429,,0,DA20/0430,two storey dwelling with underground basement and in-ground swimming pool (as amended),two storey dwelling with underground basement and in-ground ,1,2020-08-26T10:37:47,2020,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,857544,857544,58429,58429
Other,2020,2020-12-01T00:00:00,Charge,RfdCheque,S94-28,S94-28 - Seaside City,58429,,0,DA20/0430,two storey dwelling with underground basement and in-ground swimming pool (as amended),two storey dwelling with underground basement and in-ground ,1,2020-08-26T10:37:47,2020,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,857544,857544,58429,58429
Other,2019,2019-03-11T00:00:00,Charge,Charge,S94-28,S94-28 - Seaside City,56392,,0,DA19/0067,"dwelling with attached garage, carport, in-ground swimming pool and 1.8m high front fence","dwelling with attached garage, carport, in-ground swimming p",1,2019-03-11T11:14:39,2019,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,803477,803477,56392,56392
Other,2019,2019-04-10T00:00:00,Charge,ChgAdj,S94-28,S94-28 - Seaside City,56392,,0,DA19/0067,"dwelling with attached garage, carport, in-ground swimming pool and 1.8m high front fence","dwelling with attached garage, carport, in-ground swimming p",1,2019-03-11T11:14:39,2019,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,803477,803477,56392,56392
Other,2019,2019-04-10T00:00:00,Charge,RfdCHEQUE,S94-28,S94-28 - Seaside City,56392,,0,DA19/0067,"dwelling with attached garage, carport, in-ground swimming pool and 1.8m high front fence","dwelling with attached garage, carport, in-ground swimming p",1,2019-03-11T11:14:39,2019,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,803477,803477,56392,56392
Other,2019,2019-12-10T00:00:00,Charge,Charge,S94-28,S94-28 - Seaside City,56864,,56864,DA19/0613,dwelling with attached double garage and in-ground swimming pool,dwelling with attached double garage and in-ground swimming ,1,2019-12-10T09:36:32,2019,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,828790,828790,56864,56864
Other,2021,2021-03-09T00:00:00,Charge,Charge,S94-28,S94-28 - Seaside City,58429,,0,DA20/1002,two storey dwelling and in-ground swimming pool,two storey dwelling and in-ground swimming pool,1,2021-03-09T12:52:01.86,2021,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,875103,875103,58429,58429
Other,2021,2021-08-03T00:00:00,Charge,ChgAdj,S94-28,S94-28 - Seaside City,58429,,0,DA20/1002,two storey dwelling and in-ground swimming pool,two storey dwelling and in-ground swimming pool,1,2021-03-09T12:52:01.86,2021,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,875103,875103,58429,58429
Other,2021,2021-08-03T00:00:00,Charge,RfdCHEQUE,S94-28,S94-28 - Seaside City,58429,,0,DA20/1002,two storey dwelling and in-ground swimming pool,two storey dwelling and in-ground swimming pool,1,2021-03-09T12:52:01.86,2021,KINGSCLIFF,Approved,Council,FALSE,,Seaside28,875103,875103,58429,58429
Other,2016,2016-06-07T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,49.4,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,Over10ET,692153,692153,49.4,49.4
Other,2016,2016-06-07T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,92.95,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,ResDevt13,692153,692153,92.95,92.95
Other,2016,2016-06-07T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,1463.87,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,Shirewide,692153,692153,1463.87,1463.87
Other,2019,2019-07-09T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,49.4,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,Over10ET,692153,692153,49.4,49.4
Other,2019,2019-07-09T00:00:00,Charge,ChgAdj,S94-13,S94-13 - Eviron Cemetery,92.95,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,ResDevt13,692153,692153,92.95,92.95
Other,2019,2019-07-09T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,1463.87,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,Shirewide,692153,692153,1463.87,1463.87
Other,2021,2021-03-19T00:00:00,Charge,ChgAdj,S94-12,S94-12 - Bus Shelters,49.4,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,Over10ET,692153,692153,49.4,49.4
Other,2021,2021-03-19T00:00:00,Charge,ChgAdj,S94-13,S94-13 - Eviron Cemetery,92.95,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,ResDevt13,692153,692153,92.95,92.95
Other,2021,2021-03-19T00:00:00,Charge,ChgAdj,S94-18,S94-18 - Council Admin/Support Facilities,1463.87,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,2016-06-06T15:33:48,2016,UKI,Approved,Council,FALSE,,Shirewide,692153,692153,1463.87,1463.87
Other,2016,2016-06-10T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,1258.15,,0,DA16/0186,2 lot subdivision,2 lot subdivision,2,2016-06-10T13:57:33,2016,BILAMBIL HEIGHTS,Approved,Council,FALSE,,Shirewide,695272,695272,1258.15,1258.15
Other,2016,2016-06-10T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,82.55,,0,DA16/0186,2 lot subdivision,2 lot subdivision,2,2016-06-10T13:57:33,2016,BILAMBIL HEIGHTS,Approved,Council,FALSE,,ResDevt13,695272,695272,82.55,82.55
Other,2016,2016-06-10T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,42.9,,0,DA16/0186,2 lot subdivision,2 lot subdivision,2,2016-06-10T13:57:33,2016,BILAMBIL HEIGHTS,Approved,Council,FALSE,,Over10ET,695272,695272,42.9,42.9
Other,2018,2018-06-05T00:00:00,Charge,ChgAdj,S94-12,S94-12 - Bus Shelters,42.9,,0,DA16/0186,2 lot subdivision,2 lot subdivision,2,2016-06-10T13:57:33,2016,BILAMBIL HEIGHTS,Approved,Council,FALSE,,Over10ET,695272,695272,42.9,42.9
Other,2018,2018-06-05T00:00:00,Charge,ChgAdj,S94-13,S94-13 - Eviron Cemetery,82.55,,0,DA16/0186,2 lot subdivision,2 lot subdivision,2,2016-06-10T13:57:33,2016,BILAMBIL HEIGHTS,Approved,Council,FALSE,,ResDevt13,695272,695272,82.55,82.55
Other,2018,2018-06-05T00:00:00,Charge,ChgAdj,S94-18,S94-18 - Council Admin/Support Facilities,1258.15,,0,DA16/0186,2 lot subdivision,2 lot subdivision,2,2016-06-10T13:57:33,2016,BILAMBIL HEIGHTS,Approved,Council,FALSE,,Shirewide,695272,695272,1258.15,1258.15
Other,2019,2019-05-30T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,12,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,2019-05-30T10:48:32,2019,BOGANGAR,Approved,Council,FALSE,,Over10ET,806058,806058,12,12
Other,2019,2019-05-30T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,23,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,2019-05-30T10:48:32,2019,BOGANGAR,Approved,Council,FALSE,,ResDevt13,806058,806058,23,23
Other,2019,2019-05-30T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,364.6,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,2019-05-30T10:48:32,2019,BOGANGAR,Approved,Council,FALSE,,Shirewide,806058,806058,364.6,364.6
Other,2020,2020-09-18T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,12,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,2019-05-30T10:48:32,2019,BOGANGAR,Approved,Council,FALSE,,Over10ET,806058,806058,12,12
Other,2020,2020-09-18T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,23,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,2019-05-30T10:48:32,2019,BOGANGAR,Approved,Council,FALSE,,ResDevt13,806058,806058,23,23
Other,2020,2020-09-18T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,364.6,,0,DA19/0125,alterations and additions to existing dual occupancy (unit 1),alterations and additions to existing dual occupancy (unit 1,1,2019-05-30T10:48:32,2019,BOGANGAR,Approved,Council,FALSE,,Shirewide,806058,806058,364.6,364.6
Other,2020,2020-06-04T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,677.43,,0,DA20/0175,"alterations and additions to existing distillery including the construction of a tank farm; barrel house; and fermenting shed, and ancillary earthworks",alterations and additions to existing distillery including t,1,2020-06-03T14:53:33,2020,NORTH TUMBULGUM,Approved,Council,FALSE,,Shirewide,848520,848520,677.43,677.43
Other,2018,2018-04-06T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,1935.62,,0,DA17/0757,two industrial buildings with 11 units and Torrens Title subdivision to create two lots,two industrial buildings with 11 units and Torrens Title sub,2,2018-04-06T14:32:47,2018,SOUTH MURWILLUMBAH,Approved,Council,FALSE,,Shirewide,759172,759172,1935.62,1935.62
Other,2019,2019-03-25T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,188.09,,188.09,DA18/0635,"demolition of existing structures, new extended dining and alfresco dining areas, new covered kids area, modified bowling green, new waste room, relocation of proposed pop up café and alterations to car parking arrangement","demolition of existing structures, new extended dining and a",1,2019-03-25T08:48:10,2019,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,787914,787914,188.09,188.09
Other,2016,2016-08-31T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,2323,,0,DA16/0102,multi dwelling housing development comprising 45 town houses,multi dwelling housing development comprising 45 town houses,45,2016-08-31T14:20:02,2016,TWEED HEADS SOUTH,Approved,Council,FALSE,,Over10ET,691157,691157,2323,2323
Other,2016,2016-08-31T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,4471,,0,DA16/0102,multi dwelling housing development comprising 45 town houses,multi dwelling housing development comprising 45 town houses,45,2016-08-31T14:20:02,2016,TWEED HEADS SOUTH,Approved,Council,FALSE,,ResDevt13,691157,691157,4471,4471
Other,2016,2016-08-31T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,68137.7,,0,DA16/0102,multi dwelling housing development comprising 45 town houses,multi dwelling housing development comprising 45 town houses,45,2016-08-31T14:20:02,2016,TWEED HEADS SOUTH,Approved,Council,FALSE,,Shirewide,691157,691157,68137.7,68137.7
Other,2017,2017-12-01T00:00:00,Charge,ChgAdj,S94-12,S94-12 - Bus Shelters,2323,,0,DA16/0102,multi dwelling housing development comprising 45 town houses,multi dwelling housing development comprising 45 town houses,45,2016-08-31T14:20:02,2016,TWEED HEADS SOUTH,Approved,Council,FALSE,,Over10ET,691157,691157,2323,2323
Other,2017,2017-12-01T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,4471,,0,DA16/0102,multi dwelling housing development comprising 45 town houses,multi dwelling housing development comprising 45 town houses,45,2016-08-31T14:20:02,2016,TWEED HEADS SOUTH,Approved,Council,FALSE,,ResDevt13,691157,691157,4471,4471
Other,2017,2017-12-01T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,68137.7,,0,DA16/0102,multi dwelling housing development comprising 45 town houses,multi dwelling housing development comprising 45 town houses,45,2016-08-31T14:20:02,2016,TWEED HEADS SOUTH,Approved,Council,FALSE,,Shirewide,691157,691157,68137.7,68137.7
Other,2016,2016-02-25T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,1888.66,,0,DA15/0982,two lot subdivision,two lot subdivision,2,2016-02-25T08:25:21,2016,CASUARINA,Approved,Council,FALSE,,Shirewide,683360,683360,1888.66,1888.66
Other,2016,2016-02-25T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,124,,0,DA15/0982,two lot subdivision,two lot subdivision,2,2016-02-25T08:25:21,2016,CASUARINA,Approved,Council,FALSE,,ResDevt13,683360,683360,124,124
Other,2016,2016-02-25T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,66,,0,DA15/0982,two lot subdivision,two lot subdivision,2,2016-02-25T08:25:21,2016,CASUARINA,Approved,Council,FALSE,,Over10ET,683360,683360,66,66
Other,2016,2016-04-08T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,28,,0,DA16/0053,single storey dual occupancy,single storey dual occupancy,2,2016-04-08T08:01:58,2016,MURWILLUMBAH,Approved,Council,FALSE,,Over10ET,689183,689183,28,28
Other,2016,2016-04-08T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,52,,0,DA16/0053,single storey dual occupancy,single storey dual occupancy,2,2016-04-08T08:01:58,2016,MURWILLUMBAH,Approved,Council,FALSE,,ResDevt13,689183,689183,52,52
Other,2016,2016-04-08T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,787,,0,DA16/0053,single storey dual occupancy,single storey dual occupancy,2,2016-04-08T08:01:58,2016,MURWILLUMBAH,Approved,Council,FALSE,,Shirewide,689183,689183,787,787
Other,2016,2016-04-14T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,787,,0,DA16/0054,2 storey dual occupancy,2 storey dual occupancy,2,2016-04-14T11:39:37,2016,MURWILLUMBAH,Approved,Council,FALSE,,Shirewide,689201,689201,787,787
Other,2016,2016-04-14T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,52,,0,DA16/0054,2 storey dual occupancy,2 storey dual occupancy,2,2016-04-14T11:39:37,2016,MURWILLUMBAH,Approved,Council,FALSE,,ResDevt13,689201,689201,52,52
Other,2016,2016-04-14T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,28,,0,DA16/0054,2 storey dual occupancy,2 storey dual occupancy,2,2016-04-14T11:39:37,2016,MURWILLUMBAH,Approved,Council,FALSE,,Over10ET,689201,689201,28,28
Other,2018,2018-12-20T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,10.94,,10.94,DA18/0590,construction of decking to rear of building to be used for additional dining area,construction of decking to rear of building to be used for a,1,2018-12-20T16:11:16,2018,POTTSVILLE,Approved,Council,FALSE,,Shirewide,785983,785983,10.94,10.94
Other,2016,2016-12-20T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,3881.01,,0,DA16/0300,"mixed use development including child care centre, medical centres, office premises, retail premises, food and drink premises, gymnasium and associated earthworks","mixed use development including child care centre, medical c",1,2016-12-20T10:07:19,2016,CASUARINA,Approved,Council,FALSE,,Shirewide,700573,700573,3881.01,3881.01
Other,2017,2017-06-09T00:00:00,Charge,RfdCHEQUE,S94-18,S94-18 - Council Admin/Support Facilities,3881.01,,0,DA16/0300,"mixed use development including child care centre, medical centres, office premises, retail premises, food and drink premises, gymnasium and associated earthworks","mixed use development including child care centre, medical c",1,2016-12-20T10:07:19,2016,CASUARINA,Approved,Council,FALSE,,Shirewide,700573,700573,3881.01,3881.01
Other,2016,2016-07-12T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,50,,0,DA16/0366,dual occupancy (detached) and strata subdivision,dual occupancy (detached) and strata subdivision,2,2016-07-14T14:25:35,2016,POTTSVILLE,Approved,Council,FALSE,,Over10ET,702780,702780,50,50
Other,2016,2016-07-12T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,94,,0,DA16/0366,dual occupancy (detached) and strata subdivision,dual occupancy (detached) and strata subdivision,2,2016-07-14T14:25:35,2016,POTTSVILLE,Approved,Council,FALSE,,ResDevt13,702780,702780,94,94
Other,2016,2016-07-12T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,1432.18,,0,DA16/0366,dual occupancy (detached) and strata subdivision,dual occupancy (detached) and strata subdivision,2,2016-07-14T14:25:35,2016,POTTSVILLE,Approved,Council,FALSE,,Shirewide,702780,702780,1432.18,1432.18
Other,2021,2021-08-10T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,2118,,2118,DA20/0466,"staged development comprising of multi dwelling housing (37 townhouses), 11 swimming pools, 33 lot community title subdivision, and associated works",staged development comprising of multi dwelling housing (37 ,33,2021-08-10T14:13:54.29,2021,KINGSCLIFF,DefdComnce,,FALSE,,Over10ET,858655,858655,2118,2118
Other,2021,2021-08-10T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,3987,,3987,DA20/0466,"staged development comprising of multi dwelling housing (37 townhouses), 11 swimming pools, 33 lot community title subdivision, and associated works",staged development comprising of multi dwelling housing (37 ,33,2021-08-10T14:13:54.29,2021,KINGSCLIFF,DefdComnce,,FALSE,,ResDevt13,858655,858655,3987,3987
Other,2021,2021-08-10T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,62776.45,,62776.45,DA20/0466,"staged development comprising of multi dwelling housing (37 townhouses), 11 swimming pools, 33 lot community title subdivision, and associated works",staged development comprising of multi dwelling housing (37 ,33,2021-08-10T14:13:54.29,2021,KINGSCLIFF,DefdComnce,,FALSE,,Shirewide,858655,858655,62776.45,62776.45
Other,2016,2016-04-14T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,1793,,1793,DA15/0776,"mixed use development incorporating 40  dual use units (residential and tourist accommodation) including an ancillary communal area with swimming pool and gym, ground level commercial premises (retail, restaurant/café and office use) and vehicular parking over the basement and ground levels, two lot stratum subdivision and 40 lot strata subdivision",mixed use development incorporating 40  dual use units (resi,1,2016-04-13T15:34:54,2016,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,676867,676867,1793,1793
Other,2016,2016-04-14T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,3368,,3368,DA15/0776,"mixed use development incorporating 40  dual use units (residential and tourist accommodation) including an ancillary communal area with swimming pool and gym, ground level commercial premises (retail, restaurant/café and office use) and vehicular parking over the basement and ground levels, two lot stratum subdivision and 40 lot strata subdivision",mixed use development incorporating 40  dual use units (resi,1,2016-04-13T15:34:54,2016,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,676867,676867,3368,3368
Other,2016,2016-04-14T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,51926.82,,51926.82,DA15/0776,"mixed use development incorporating 40  dual use units (residential and tourist accommodation) including an ancillary communal area with swimming pool and gym, ground level commercial premises (retail, restaurant/café and office use) and vehicular parking over the basement and ground levels, two lot stratum subdivision and 40 lot strata subdivision",mixed use development incorporating 40  dual use units (resi,1,2016-04-13T15:34:54,2016,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,676867,676867,51926.82,51926.82
Other,2017,2017-11-06T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,1169,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,745613,745613,1169,1169
Other,2017,2017-11-06T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,2181,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,745613,745613,2181,2181
Other,2017,2017-11-06T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,34518.14,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,745613,745613,34518.14,34518.14
Other,2019,2019-05-23T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,1169,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,745613,745613,1169,1169
Other,2019,2019-05-23T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,2181,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,745613,745613,2181,2181
Other,2019,2019-05-23T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,34518.14,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,745613,745613,34518.14,34518.14
Other,2019,2019-10-21T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,1169,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,745613,745613,1169,1169
Other,2019,2019-10-21T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,2181,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,745613,745613,2181,2181
Other,2019,2019-10-21T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,34518.14,,0,DA17/0381,"mixed use development including retail and office, shop top housing, multi dwelling housing, residential flat building with residential accommodation and tourist and visitor accommodation subdivision in 3 Stages and 31 lot strata subdivision","mixed use development including retail and office, shop top ",31,2017-11-06T13:52:45,2017,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,745613,745613,34518.14,34518.14
Other,2017,2017-11-29T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,376.22,,56,DA17/0450,4 lot subdivision with 4 attached dual occupancies and 6 pools in 5 stages,4 lot subdivision with 4 attached dual occupancies and 6 poo,4,2017-11-29T08:47:27,2017,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,747418,747418,376.22,376.22
Other,2017,2017-11-29T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,719.09,,105,DA17/0450,4 lot subdivision with 4 attached dual occupancies and 6 pools in 5 stages,4 lot subdivision with 4 attached dual occupancies and 6 poo,4,2017-11-29T08:47:27,2017,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,747418,747418,719.09,719.09
Other,2017,2017-11-29T00:00:00,Charge,Charge,S94-18,S94-18 - Council Admin/Support Facilities,10974.99,,1646.91,DA17/0450,4 lot subdivision with 4 attached dual occupancies and 6 pools in 5 stages,4 lot subdivision with 4 attached dual occupancies and 6 poo,4,2017-11-29T08:47:27,2017,KINGSCLIFF,Approved,Council,FALSE,,Shirewide,747418,747418,10974.99,10974.99
Other,2019,2019-06-11T00:00:00,Charge,Charge,S94-12,S94-12 - Bus Shelters,376.22,,56,DA17/0450,4 lot subdivision with 4 attached dual occupancies and 6 pools in 5 stages,4 lot subdivision with 4 attached dual occupancies and 6 poo,4,2017-11-29T08:47:27,2017,KINGSCLIFF,Approved,Council,FALSE,,Over10ET,747418,747418,376.22,376.22
Other,2019,2019-06-11T00:00:00,Charge,Charge,S94-13,S94-13 - Eviron Cemetery,719.09,,105,DA17/0450,4 lot subdivision with 4 attached dual occupancies and 6 pools in 5 stages,4 lot subdivision with 4 attached dual occupancies and 6 poo,4,2017-11-29T08:47:27,2017,KINGSCLIFF,Approved,Council,FALSE,,ResDevt13,747418,747418,719.09,719.09
